name,x,y
136,2322194.2,380743.4
137,2322007.2,380855.9
138,2321928.5,380864.7
139,2321744.5,381123.0
140,2321806.2,381111.6
141,2321687.6,380685.2
142,2321654.7,380621.0
143,2321643.8,380522.5
144,2321553.9,380564.4
145,2321543.3,380377.9
146,2321627.9,380437.3
147,2321771.8,380304.3
148,2321797.0,380553.3
149,2321906.5,380469.5
150,2322028.4,380568.7
151,2322154.5,380419.5
152,2322020.6,380397.6
153,2322091.0,380274.4
154,2321953.7,380315.1
155,2322019.0,380079.4
156,2322213.8,380196.3
157,2322247.6,380172.5
158,2322314.8,380133.2
159,2322344.4,380196.3
160,2322340.2,380229.5
161,2322399.6,380250.4
162,2322423.2,380320.4
163,2322461.5,380298.6
164,2322488.3,380369.0
165,2322563.2,380319.5
166,2322515.9,380252.5
167,2322702.2,380237.2
168,2322756.8,380205.7
169,2322912.1,380321.6
170,2322806.3,380373.9
171,2322895.0,380439.9
172,2322969.5,380399.5
173,2322834.7,380478.2
174,2322825.5,380562.1
175,2322769.3,380497.7
176,2322731.0,380447.6
177,2322670.2,380510.2
178,2322668.1,380398.6
179,2322612.1,380397.2
180,2322555.4,380437.7
181,2322572.6,380530.0
182,2322645.0,380643.9
183,2322579.0,380680.3
184,2322710.2,380611.5
185,2322779.8,380704.6
186,2322838.5,380661.1
187,2322858.2,380759.7
188,2322954.3,380690.3
189,2322899.6,380843.3
190,2322995.6,380895.7
191,2322979.6,381019.9
192,2322866.4,381000.1
193,2322784.7,381170.9
194,2322936.9,381155.3
195,2322916.6,381248.7
196,2322983.0,381321.6
197,2322928.6,381435.1
198,2322982.7,381518.5
199,2323056.7,381541.0
200,2323110.3,381460.2
201,2323058.8,381665.8
202,2323137.4,381810.8
203,2323221.3,381848.5
204,2323205.8,382009.0
205,2323013.2,381999.2
206,2323045.3,381879.5
207,2322957.6,381887.8
208,2322937.8,381804.6
209,2322881.6,381748.1
210,2322782.2,381694.0
211,2322736.9,381804.3
212,2322627.8,381766.1
213,2322631.2,381899.5
214,2322459.0,381831.8
215,2322743.6,381950.8
216,2322803.2,382002.3
217,2322714.2,382097.3
218,2322771.2,382154.5
219,2322810.3,382178.0
220,2322840.2,382120.2
221,2322890.1,382117.4
222,2322967.5,382076.1
223,2322993.4,382188.2
224,2323114.8,382245.6
225,2323155.7,382343.6
226,2323073.0,382338.0
227,2322989.8,382427.6
228,2322961.8,382620.5
229,2323198.0,382479.0
230,2323210.9,382419.0
231,2323279.7,382418.4
232,2323271.2,382323.9
233,2323265.4,382226.2
234,2323168.7,383518.8
235,2322555.0,383383.3
236,2322439.1,382484.6
237,2321345.6,382371.1
238,2321324.2,382289.8
239,2321228.0,382224.6
240,2321203.9,382164.9
241,2321169.9,382130.6
242,2321098.5,382184.6
243,2321315.5,382174.9
244,2321415.5,382171.5
245,2321429.7,382014.0
246,2322508.8,381599.9
247,2322437.3,381473.0
248,2322601.4,381513.9
249,2322655.1,381620.1
250,2322714.3,381484.0
251,2322832.6,381610.4
252,2322836.7,381493.8
253,2322776.6,381386.8
254,2322641.2,381327.6
255,2322737.3,381278.2
256,2322543.1,381381.5
257,2322481.6,381397.1
258,2323057.7,381070.6
259,2323037.4,380598.2
260,2322908.5,380611.4
261,2322493.1,380060.4
262,2322505.5,379982.1
263,2322393.2,379966.4
264,2322392.9,380095.9
265,2322210.4,380049.7
266,2322285.2,379966.7
267,2322206.2,379897.9
268,2322319.9,379846.6
269,2322338.7,379749.4
270,2322450.7,379878.7
271,2322247.8,379666.5
272,2322117.3,379584.7
273,2322020.1,379669.8
274,2321955.1,379657.2
275,2321870.5,379682.8
276,2321894.5,379604.6
277,2321974.5,379565.0
278,2321907.3,379514.4
279,2321864.7,379482.9
280,2322001.0,379455.9
281,2321918.8,379387.0
282,2321798.8,379440.2
283,2321826.3,379314.5
284,2321733.6,379372.9
285,2321651.5,379423.5
286,2321618.6,379339.9
287,2321612.4,379241.8
288,2321692.5,379235.2
289,2321747.0,379216.3
290,2321799.5,379194.1
291,2321845.2,379163.0
292,2321666.6,379113.2
293,2321603.8,378986.7
294,2321568.9,378908.6
295,2321454.5,379002.9
296,2321490.7,379104.4
297,2321549.2,379154.5
298,2321525.4,379268.6
299,2321469.7,379275.3
300,2321401.5,379296.2
301,2321469.9,379373.9
302,2321400.0,379379.2
303,2321488.3,379443.5
304,2321528.7,379510.7
305,2321543.2,379608.1
306,2321644.7,379528.0
307,2321669.3,379624.2
308,2321740.3,379647.7
309,2321506.4,379702.4
310,2321355.3,379746.5
311,2321291.0,379699.8
312,2321393.4,379615.0
313,2321344.0,379551.0
314,2321283.8,379493.4
315,2321358.1,379436.2
316,2321277.1,379332.3
317,2321224.3,379380.1
318,2321128.7,379343.4
319,2321213.1,379262.4
320,2321166.9,379201.3
321,2321288.3,379229.2
322,2321318.5,379159.2
323,2321366.8,379078.4
324,2321421.8,379190.3
325,2321297.4,379009.9
326,2321210.9,379077.7
327,2321217.2,378970.9
328,2321135.2,378989.7
329,2321094.9,379046.3
330,2321064.1,379084.7
331,2321017.4,378994.4
332,2321052.7,378946.0
333,2321082.9,378893.2
334,2321013.6,378800.5
335,2321155.6,378820.0
336,2321200.1,378849.8
337,2321289.0,378847.1
338,2321335.0,378914.0
339,2321420.5,378815.0
340,2321488.7,378856.7
341,2321317.6,378767.7
342,2321376.5,378613.4
343,2321246.8,378724.4
344,2320818.9,378449.9
345,2320629.5,378491.4
346,2320582.8,378403.7
347,2320497.1,378371.3
348,2320428.6,378461.4
349,2320511.1,378515.4
350,2320528.8,378595.8
351,2320409.5,378625.7
352,2320374.7,378733.8
353,2320267.3,378679.3
354,2320289.9,378557.8
355,2320152.9,378583.2
356,2320141.5,378474.1
357,2320035.2,378464.7
358,2320020.8,378391.0
359,2319978.9,378339.6
360,2320165.3,378326.4
361,2320237.1,378385.8
362,2320295.7,378472.0
363,2320368.0,378387.6
364,2320358.1,378276.0
365,2319819.0,378175.4
366,2319306.8,378201.0
367,2319220.8,378165.1
368,2319149.6,378130.5
369,2319107.4,378339.8
370,2318943.4,378349.6
371,2318694.2,378563.5
372,2318582.1,378538.1
373,2318593.1,378689.3
374,2318484.2,378732.3
375,2318538.4,378814.3
376,2318596.0,378917.7
377,2318504.7,378971.2
378,2318598.9,379074.3
379,2318532.5,379109.9
380,2318706.9,378976.2
381,2318786.2,379042.3
382,2318816.3,379088.4
383,2318806.9,379189.4
384,2318841.2,379267.9
385,2318882.0,379335.8
386,2318768.8,379354.2
387,2318920.9,379400.4
388,2318956.5,379464.5
389,2319032.5,379261.9
390,2319060.6,379526.5
391,2319281.8,379699.3
392,2319239.4,379826.1
393,2319378.4,379779.4
394,2319462.3,379819.0
395,2319460.3,379680.4
396,2319830.7,379430.1
397,2319895.8,379694.4
398,2319866.0,379853.5
399,2319913.8,379854.2
400,2319947.5,379919.7
401,2319965.2,380020.5
402,2320066.2,379946.0
403,2320104.4,380069.0
404,2320035.5,380116.8
405,2320078.2,380202.5
406,2319936.0,380183.0
407,2320018.9,380286.7
408,2319882.6,380239.6
409,2319869.6,380360.0
410,2319782.8,380277.0
411,2319687.6,380330.9
412,2319702.3,380175.8
413,2319580.6,380215.0
414,2319535.5,380126.3
415,2319635.3,380044.9
416,2319533.0,380003.9
417,2319493.5,379948.6
418,2319460.0,380007.8
419,2319370.3,380184.2
420,2319346.3,380236.9
421,2319699.4,380455.0
422,2319782.8,380526.5
423,2319821.3,380450.8
424,2319919.9,380541.6
425,2319860.7,380619.9
426,2319908.7,380673.7
427,2320026.1,380652.1
428,2320073.2,380581.8
429,2320008.3,380555.6
430,2320054.7,380435.5
431,2319976.7,380430.0
432,2320163.6,380394.3
433,2320159.7,380574.9
434,2320375.8,380459.8
435,2320280.9,380243.3
436,2320207.7,380222.9
437,2320186.6,380086.7
438,2320206.9,380018.9
439,2320553.0,379732.1
440,2320638.2,379656.6
441,2320724.4,379713.1
442,2320733.7,379777.3
443,2320847.1,379845.4
444,2320773.0,379876.5
445,2320932.2,379805.0
446,2321072.2,379831.7
447,2321009.4,379731.3
448,2321099.8,379679.0
449,2321036.5,379585.1
450,2320953.0,379577.9
451,2320838.8,379651.9
452,2320875.4,379504.5
453,2320890.4,379736.2
454,2320786.3,379556.6
455,2320655.0,379329.9
456,2321089.0,379268.8
457,2321147.2,379134.0
458,2321107.6,379479.9
459,2321200.2,379602.3
460,2320755.2,379057.1
461,2320804.0,378959.6
462,2320653.0,379094.1
463,2319958.6,378850.4
464,2320020.7,378649.8
465,2319966.5,378605.2
466,2319393.1,379106.2
467,2319069.0,378762.2
468,2318996.0,378859.1
469,2318954.1,378807.7
470,2318863.9,378915.7
471,2318780.0,378824.1
472,2318668.8,378761.2
473,2321211.6,379772.4
474,2321144.0,379844.0
475,2321182.9,379875.2
476,2321935.2,379876.6
477,2320484.6,380707.6
478,2320461.4,380681.5
479,2320393.7,380726.8
480,2320326.8,380791.6
481,2320421.6,380858.1
482,2320502.4,380827.6
483,2320424.2,380983.6
484,2320419.1,381078.6
485,2320331.5,381104.1
486,2320194.0,381048.5
487,2320139.7,381138.9
488,2320056.9,381045.5
489,2320055.0,380938.9
490,2319973.3,380997.0
491,2319907.8,380972.0
492,2319835.3,381008.9
493,2319828.2,381128.2
494,2319937.6,381158.0
495,2319839.4,381256.2
496,2319732.9,381255.7
497,2319914.4,381309.0
498,2319955.8,381426.7
499,2320055.6,381445.1
500,2320141.1,381449.7
501,2320065.8,381584.1
502,2320150.2,381834.6
503,2320061.3,381821.9
504,2320054.9,381971.6
505,2319978.3,381932.8
506,2320072.1,382043.8
507,2320220.6,382061.2
508,2320926.8,381730.0
509,2320949.0,381748.2
510,2321008.9,381853.4
511,2320878.8,381838.9
512,2321139.6,381750.6
513,2321193.8,381863.3
514,2321262.6,381621.3
515,2321412.8,381703.2
516,2321402.4,381561.7
517,2321286.8,381466.7
518,2320296.8,381396.9
519,2320191.6,381285.6
520,2320043.5,381271.9
521,2319946.0,381721.7
522,2320164.4,382532.6
523,2320147.7,380843.7
524,2320100.7,380838.5
525,2320237.4,380911.2
526,2319678.7,379894.0
527,2319746.2,379998.0
528,2319715.6,379932.3
529,2319795.4,380087.0
530,2319879.7,380103.2
531,2318755.3,378081.6
532,2321763.8,379546.0
533,2321708.7,379489.2
534,2322071.3,379406.2
535,2322047.8,379523.6
536,2322138.0,379471.6
537,2322106.2,379479.3
538,2322170.5,380278.6
539,2322165.8,380368.9
540,2323093.1,382237.8
541,2322701.2,382179.4
542,2321305.2,380895.4
543,2321719.1,379778.0
544,2323444.6,384862.3
545,2321861.6,381748.0
546,2323095.3,382889.5
547,2323024.4,380776.9
548,2322317.1,380056.6
549,2319435.1,380769.1
550,2319680.4,380690.6
551,2321539.1,379872.8
552,2320692.6,382084.6
553,2320662.7,381977.6
554,2320850.6,381989.5
555,2320750.3,381901.9
556,2320679.0,378881.8
557,2320525.8,378776.9
558,2320616.8,378751.0
559,2320626.5,378673.1
560,2320611.6,378624.1
561,2320913.3,378695.7
562,2320777.1,378667.9
563,2320860.2,378605.1
564,2320703.4,378610.3
